# BEAST v1.9.0pre20161204 Prerelease #5657174
# Generated Tue Feb 21 14:19:07 GMT 2017 [seed=666]
# -seed 666 -beagle_cuda -beagle_double -beagle_order 1 -threshold 0.1 metazoan.xml
state	posterior	prior	likelihood	treeModel.rootHeight	yule.birthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	speciation
95000	-856780.3086690352	-212.1882776780309	-856568.1203913572	0.5329231602742439	3.759576528003156	0.4998720912638925	1.0	1.0	-856568.1203913572	0.0	18.37682862334153
100000	-856468.2140851064	-211.18610376573452	-856257.0279813407	0.5118418756758686	4.643006760489773	0.5118880522527567	1.0	1.0	-856257.0279813407	0.0	19.403034457615632
105000	-856088.7091265094	-208.41124719827562	-855880.2978793111	0.4938379003925794	3.7298578612108324	0.5118806493563448	1.0	1.0	-855880.2978793111	0.0	22.1778762192817
110000	-855785.8170335094	-206.14646204382697	-855579.6705714655	0.47716137642767015	4.109606690523326	0.5098876292741094	1.0	1.0	-855579.6705714655	0.0	24.43867533356586
115000	-855584.387265367	-205.10349789936663	-855379.2837674676	0.47012364474523016	4.8332926430982734	0.5184831885627109	1.0	1.0	-855379.2837674676	0.0	25.498830596603433
120000	-855434.8077997561	-203.50755667276854	-855231.3002430833	0.4527617968544053	4.209599297676124	0.5166194078048038	1.0	1.0	-855231.3002430833	0.0	27.091044261685717
125000	-855249.6917948296	-202.60554566195646	-855047.0862491676	0.4422817847202674	5.21002957655457	0.5187593120876977	1.0	1.0	-855047.0862491676	0.0	27.997335081063557
130000	-855105.5844152129	-201.34246354886466	-854904.241951664	0.43701611741635377	4.583893819819424	0.5195813972804643	1.0	1.0	-854904.241951664	0.0	29.262061364540912
135000	-854971.0375638606	-200.1769841467252	-854770.860579714	0.429015397753274	5.113026503459971	0.5124118296128882	1.0	1.0	-854770.860579714	0.0	30.4132016313452
140000	-854837.8269826238	-200.00426698579903	-854637.822715638	0.41674863184880556	3.9880765448348687	0.5183577029467952	1.0	1.0	-854637.822715638	0.0	30.59781053893921
145000	-854719.7981962932	-197.7913593262332	-854522.006836967	0.41030392530434645	5.2371146171506755	0.5131931583714078	1.0	1.0	-854522.006836967	0.0	32.80038910935427
150000	-854636.2725024754	-199.0130414492222	-854437.2594610262	0.39759913760425386	6.737306917062948	0.511699857107608	1.0	1.0	-854437.2594610262	0.0	31.57572038383768
155000	-854531.8016380306	-196.17872171033093	-854335.6229163202	0.38767344089362477	4.511734375645372	0.5084868325124023	1.0	1.0	-854335.6229163202	0.0	34.40361407353849
160000	-854476.9965473609	-195.09055383431945	-854281.9059935266	0.3847259458197882	4.88789797292635	0.5140260793070519	1.0	1.0	-854281.9059935266	0.0	35.502860443139284
165000	-854386.8983397757	-193.86584422178356	-854193.032495554	0.3775606826853043	5.006186300951841	0.5067798046795645	1.0	1.0	-854193.032495554	0.0	36.713077506420206
